query,rank,image_id,final_score,caption
white sneakers,1,9040,0.225,"Arafed woman sits on a wall with her legs crossed, wearing a loose-fitting cartoon jumpsuit in a single-breasted style with a set-in sleeve, featuring an elbow-length design. Her legs and feet are bare, with loose-fitted sleeves and socks. No non-textile materials or special manufacturing techniques are used."
white sneakers,2,7803,0.162,"Normalized caption: Araffe is sitting on a ledge overlooking a city and a river, wearing a floral midi skirt in an a-line shape with pleats and high waist, paired with a tank top in a pleated design and a floral print. Her outfit includes a fitted sweatshirt, a pair of shoes, and a pair of glasses. The skirt has an accordion pleat detail, while the top is tank-style with a high, normal waist. There are no special manufacturing techniques used. Her upperbody features a high waist and a symmetrical pattern, while her lowerbody consists of legs and feet without any non-textile materials or special designs."
white sneakers,3,258,0.1507,"Hat, oversized sweater, jeans, and a pair of shoes are visible with a fly opening and set-in sleeves. Araffe sits on a block with above-the-hip length pants and three-quarter length sleeves. The pants have a normal waist but an oversized fit, while the sweater is plain without any patterns. Legs and feet are bare, showing no socks or special manufacturing techniques."
white sneakers,4,9665,0.1486,"Normalized caption: An araffe woman poses for a photo wearing a black top with a halter neckline and a short pair of white shorts. The top has a micro length and a regular fit, while the shorts are short with a normal waist and a plain pattern. Her legs and feet are bare, showing no special manufacturing techniques or textures. She is wearing simple, fly-closing shoes that do not have any frayed edges."
white sneakers,5,41310,0.1379,"A woman stands on the street wearing a black biker jacket with a set-in sleeve and a tank top. Her jeans have a low waist and are made of plain fabric without any special manufacturing techniques. The jacket has a fly opening and is banded at the collar. Her leggings are regular in fit and length, while her shoes are wrist-length. Her pants have a normal waist and a regular fit, and her t-shirt is plain with a tank top shape."
red floral dress,1,28709,0.9519,"Normalized caption: A stylish woman wearing a fitted and flare red dress with a floral pattern, high-waisted and mini length, paired with a matching floral jacket featuring a single-breasted design and set-in sleeves. She is seen holding a pole, showcasing her slim waist and regular fit. Her legs are adorned with tights and plain stockings, complemented by regular-length three-quarter sleeves on both arms. The dress has a regular fit, while the jacket is slightly longer at the hip, creating a symmetrical silhouette. She is wearing a belt and zip-up closure."
red floral dress,2,29519,0.9309,"Normalized caption: A red and black floral print dress with black trims features an a-line silhouette, scoop neck, and set-in shift sleeves reaching wrist-length. The dress has a symmetrical design with a zip-up closure, suitable for a wholebody look."
red floral dress,3,11851,0.6706,"Normalized caption: An araffe woman stands next to a black car wearing a red mini dress with floral print. She has a loose fit, with pleats and puff sleeves. Her top is a t-shirt with a round neckline and raglan shoulders, while her shorts are short. She wears a plain-colored sweatshirt over it. Accessories include a bag, glasses, and shoes. Her upperbody features a normal waist, while her lowerbody consists of loose-fitting shorts. Visible attributes include above-the-hip length, elbow-length sleeves, no waistline, and symmetrical pattern."
red floral dress,4,27103,0.5453,"View of a woman standing in front of a vase of flowers, wearing a red bead-embellished, high-waisted, fit-and-flare gown with gathering and plain pattern, reaching floor length, adorned with plastic decorations on her whole body."
red floral dress,5,42907,0.5269,"Normalized caption: A woman wearing a blue and pink floral, bead-embellished, sequined, high-waisted, fit-and-flare gown with a symmetrical design and a zip-up closure, adorned with a plain pattern, is seen on a red carpet. Her legs and feet are showcased in matching pink shoes."
green hoodie,1,42006,0.9585,"Normalized caption: A close-up view shows a green hoodie hanging on a wall with a kangaroo pocket, set-in sleeves, and a regular fit. The hoodie has a hip length, symmetrical design, and a zip-up closure. It features a plain pattern without any special manufacturing techniques or waistline details. The sleeve length is wrist-length, and there are no non-textile materials used."
green hoodie,2,20831,0.203,"Normalized caption: A woman walks down a runway wearing a green oversized, dropped-shoulder sweater with a set-in sleeve and a wide-leg silhouette. Her legs are covered in hip-length culottes, and she completes her look with a wrist-length scarf and ankle boots. The outfit features no special manufacturing techniques or non-textile materials. She carries a bag and wears a plain t-shirt underneath, adding a touch of casual wear to her elegant ensemble."
green hoodie,3,30215,0.1933,"Normalized caption: A close-up view shows a man wearing a gray hoodie with a dropped shoulder sleeve and kangaroo pocket. The hoodie is fitted and symmetrical, extending above the hips. It has a regular fit without a waistband or special manufacturing techniques. The hoodie is plain with no pattern. The man also wears a t-shirt underneath, visible through the hoodie's open front. He has a watch on his wrist and a belt around his waist. His arms and hands are visible, with regular sleeve lengths."
green hoodie,4,9712,0.1878,"Normalized caption: A man in a red sweatshirt with a set-in sleeve and regular fit crouches to pick something up. His sweatpants have a symmetrical design and are worn over his regular fitting track pants. Visible attributes include a zip-up closure and wrist-length sleeves. The sweatshirt has an oversized collar and a plain pattern, while the pants feature a fly opening and no waistband. His shoes and pockets have flaps. Upperbody features include a hoodie with a crouching pose, and lowerbody consists of sweatpants and track pants."
green hoodie,5,44230,0.1498,"Normalization complete: A man with tattoos wears a green t-shirt with a printed image of a man on it. The t-shirt has a regular fit, set-in short sleeves, and a round neck. It features classic design elements including letters and numbers, but no waistline or hip details. The garment is plain in pattern, not textured, and comes without any non-textile materials. Upper body is the only visible body region."
casual jeans,1,37892,0.7583,"Normalized caption: An araffe woman poses in black loose-fit jeans with a tucked-in t-shirt, wearing a belt and buckle. Her jeans have a bootcut shape and a normal waistline, while her t-shirt has a scoop neck and set-in sleeves. She is barefoot, showcasing ankle boots with a fly opening. The overall look is casual with a relaxed fit, featuring no special manufacturing techniques or patterns."
casual jeans,2,2445,0.6128,"Normalized caption: A woman stands in front of a blue door wearing yellow jeans and a tight, short-sleeved, fly-closing t-shirt. The jeans have a normal waist and are made without any special manufacturing techniques. The t-shirt is plain with a set-in short sleeve and a symmetrical design, appearing slightly washed for a casual look."
casual jeans,3,39463,0.3741,"A close-up view of a woman wearing dark blue jeans with a navy blazer. Her blazer has a symmetrical napoleon lapel, is single-breasted with a fly opening, and fits tightly at the waist. She wears a tank top underneath, which is tight-fitting and has a regular fit. Her jeans have a normal waist, are made without any special manufacturing techniques, and are above-the-hip length. She carries her belongings in a bag and wallet, both placed casually on her lap."
casual jeans,4,22397,0.2512,"Normalized caption: Araffe woman leaning with arms crossed, wearing cropped tight jeans in washed denim with high waist and normal fit, above-the-hip length. Her legs are adorned with ankle boots. She has a t-shirt underneath a sweatshirt, both featuring a patch pocket with a distressed look and a fly opening. Her upperbody shows a cropped top with a high waist, while her lowerbody consists of loose maxi-length pants with a straight cut and a curved pocket."
casual jeans,5,26498,0.2493,"Normalized caption: A man stands on a sidewalk wearing a loose-fitting, single-breasted, blue vest with a button-down shirt underneath. His pants are dark wash jeans, paired with a belt and closed with a fly. He has a plain white blouse with a set-in sleeve, tucked into his pants. His legs are bare except for black shoes, and he wears a hat and a matching black belt. The vest is above-the-hip length, while the shirt sleeves are elbow-length. His pants have a straight cut and a low waist, with a loose fit and no lining. The blouse is tight-fitting but not tight around the waist."
formal blazer,1,47997,0.6881,"Normalized caption: A man and woman are dressed in formal attire, both wearing a single-breasted, blazer-style jacket with a shawl lapel, a regular fit with a normal waist, and a long, maxi-length shirt underneath. Their pants are of regular length, while the woman's blouse has a set-in sleeve. Both have above-the-hip length pants and matching shoes. The man's jacket is fly-closing with a regular opening, and his sleeves are straight and symmetrical. They both have hip-length sleeves and no special manufacturing techniques. Their clothing is made without non-textile materials and features plain patterns. The woman's lowerbody is complemented by matching legwear and footwear, while the man's legs and feet are not visible."
formal blazer,2,30855,0.6107,"Normalized caption: They pose formally at an event wearing a blazer with a peak lapel and set-in sleeves, a regular fit single-breasted jacket in stripes, a loose-fitting blouse with a plain pattern, a matching blazer in a loose fit, and thigh-length pants with a regular fit. Their shoes match the blazer, and the blouse has a lining. The ensemble features tight-fitting sleeves and a tight fit overall, with wrist-length cuffs. Their legs and feet are bare, showcasing their natural skin tone."
formal blazer,3,17666,0.4347,"Normalized caption: A man stands in front of a poster wearing a suit with a regular fit, single-breasted design, featuring a blazer with a notched lapel and a fly opening. The suit has a low waist length, regular sleeves, and a regular waist. His pants are made of a simple fabric without special techniques, while his shirt is plain with a normal fit. He wears a pair of shoes and a blouse under the suit, adding a touch of color. His legs and feet are clad in jeans, which contrast with the formal suit."
formal blazer,4,4446,0.2582,"A refined man dressed in a tailored blazer with a notched lapel, single-breasted design, and regular fit, wears a plain white shirt with a wing collar. His jacket has a fly opening and set-in sleeves, while his trousers have a straight cut and regular waist. He smokes a cigarette through a pair of cufflinks at the wrist-length sleeves. His lapel is lined, and his trouser pockets are welted. He completes his look with glasses and a collarless blouse, all complemented by a pair of dark jeans that reach to his hips."
formal blazer,5,36187,0.2339,"Normalized caption: A woman stands outside wearing a black classic, double-breasted blazer with a set-in sleeve and symmetrical fit. She has tight, washed jeans with a lining and no waistline. Her upperbody features a plain t-shirt under a sweatshirt, while her lowerbody is clad in jeans. Accessories include a bag, wallet, glasses, and a lapel. Her wholebody is complemented by a coat over her shoulders."
summer dress,1,18805,0.2831,"Normalized caption: A woman stands in a field wearing a black, fit and flare sundress with a high waist, pleats, and a symmetrical design featuring a floral pattern. The dress has a plain (no print) fabric and a high waistline."
summer dress,2,9763,0.2692,"Normalized caption: Araffe woman sitting on the ground wearing a sundress with a zip-up and short length. The dress features gathering at the waist, puff sleeves, and symmetrical design. Visible are dots and circles on the fabric, along with a single sleeve. She is barefoot, with visible legs and feet. No non-textile materials are present."
summer dress,3,26497,0.2483,"Normalized caption: Araffe woman leaning against a column wearing a fit and flare gown with stripes in a symmetrical pattern, reaching maxi length. Visible are her glasses and shoes, with no openings or non-textile materials. The gown has a normal waist and is not asymmetrical. Body regions include her head, legs and feet, and the entire body."
summer dress,4,38292,0.2083,"Normalized caption: An araffe girl wearing a fitted and flare white dress with a red bow at the neckline, featuring gathering at the waist and a mini length. The dress has a high waist and an illusion neck, adorned with a hair accessory and headband. Her whole body is visible, with plain but printed patterns and no non-textile materials. The dress is symmetrical, showcasing a skater silhouette."
summer dress,5,35368,0.1836,"Normalized caption: A woman poses in an above-the-knee floral dress with an asymmetrical hemline, high waist, and decorative ribbon around the waist. The dress features printed floral patterns on her whole body, with visible decorations on her upper torso. Her legs and feet are showcased in pointed shoes."
long sleeve shirt,1,31982,0.9439,"A woman wearing a black long-sleeved classic t-shirt with a white logo, featuring a round neck, set-in wrist-length sleeves, and a symmetrical design. The t-shirt has a normal waist and a tight fit, with no special manufacturing techniques or non-textile materials. The neckline and sleeves are visible, and there's no indication of any hip or special body region details."
long sleeve shirt,2,43686,0.924,"Normalized caption: A man with a beard wearing a long-sleeved top, featuring a classic t-shirt with a regular fit and set-in wrist-length sleeves. The top has a symmetrical design without a waistline or special manufacturing techniques, displaying a plain pattern. No non-textile materials are present. Upper body is fully covered."
long sleeve shirt,3,38426,0.4516,"Normalization: A close-up view shows a mini-length shirt with a single-breasted design, featuring a set-in sleeve and a symmetrical silhouette. The shirt has an applique pattern on the chest and a bishop sleeve shape. It's printed with checks and has a patch pocket at the side. There are no non-textile materials or waistlines. The collar is bishop-shaped, and the sleeve is set-in. The upperbody is dressed in this shirt without a blouse or additional sleeves."
long sleeve shirt,4,26335,0.3426,"Normalization complete: A blue shirt with a black and white pattern, loose fit, hip length, has a single-breasted design with a symmetrical appearance. It features a set-in sleeve, a patch pocket, and a collar. The shirt is made without any special manufacturing techniques or non-textile materials, and its sleeves reach the wrist-length. The garment is part of an upperbody outfit."
long sleeve shirt,5,33073,0.3405,"Plaid shirt with check pattern hangs on a hanger. Visible attributes include a single-breasted design with a set-in sleeve, symmetrical look, oversized fit, and a flap pocket. The shirt has an oversized silhouette, wrist-length sleeves, and a collar that extends to the hip length. No waistline or non-textile materials are present. Upper body features are visible."
black handbag,1,8759,0.312,"A woman in a black top with a tulip skirt and a furry teddy bear coat wears a mini skirt and a high-waisted top. She carries a bag and a wallet, has glasses on, and her legs are adorned with tight-fitting shoes. Her coat features pleats and a straight silhouette, while her skirt is gathered and wrapped at the waist. The woman's head is visible, along with her symmetrical face, and her whole body is dressed in black, with no special manufacturing techniques used."
black handbag,2,1830,0.3011,"A man in a plaid shirt and jeans holds a black bag with a set-in sleeve and regular fit. He wears a loose-fitting pair of jeans, a plain t-shirt with a printed pattern, and a maxi-length coat. His shoes have a wrap design, and he carries a wallet and glasses on his belt. The shirt has a fly opening and a symmetrical design, while his pants are hip-length."
black handbag,3,44278,0.2759,"Arafed woman walks on a gravel path wearing a black maxi dress with a dropped-shoulder sleeve and a matching black coat. Her top is a plain t-shirt with a notched lapel, both have regular fits and normal waists. She carries a bag and wallet, her pants are loose-fitting, sleeves are elbow-length, and her shoes are simple. The dress has a pencil silhouette and no lining or special manufacturing techniques. Her entire body is covered in black, from her maxi-length dress to her regular-fit coat."
black handbag,4,48386,0.2582,"A woman wearing an oversized teddy bear coat in a wrapping style, with a yellow sweater and a black skirt that has pleats and a midi length. She's paired it with black boots and a black bag. Her coat has a regular fit, set-in sleeves, and a normal waist. The skirt is skater-style and symmetrical, while her sweater is plain with a regular fit and no waistline. She completes the look with black stockings and gloves on her hands."
black handbag,5,46041,0.2459,"Normalized caption: A woman stands in snow wearing a black pea coat with a regular fit, double-breasted, and a notched lapel. The coat has a set-in sleeve and a tight fit, while her black knee-length jodhpur pants have a regular fit and a plain pattern. She wears a plain black scarf and black boots with a regular fit and a tight shape. Her pants have a symmetrical design, and her sleeves are set-in. She carries a bag and wallet in her hands."
